2022-08-15 22:38:18,959 - INFO - Loading Data...
2022-08-15 22:38:22,939 - INFO - Init nn...
2022-08-15 22:38:25,539 - INFO - Training...
2022-08-15 22:38:35,532 - INFO - [1,   721] loss: 0.188
2022-08-15 22:38:35,586 - INFO - [1,   725] loss: 0.188
2022-08-15 22:38:35,642 - INFO - [1,   729] loss: 0.188
2022-08-15 22:38:35,696 - INFO - [1,   733] loss: 0.187
2022-08-15 22:38:35,750 - INFO - [1,   737] loss: 0.187
2022-08-15 22:38:35,804 - INFO - [1,   741] loss: 0.187
2022-08-15 22:38:35,858 - INFO - [1,   745] loss: 0.186
2022-08-15 22:38:35,913 - INFO - [1,   749] loss: 0.186
2022-08-15 22:38:35,967 - INFO - [1,   753] loss: 0.186
2022-08-15 22:38:36,021 - INFO - [1,   757] loss: 0.186
2022-08-15 22:38:36,077 - INFO - [1,   761] loss: 0.185
2022-08-15 22:38:36,130 - INFO - [1,   765] loss: 0.185
2022-08-15 22:38:36,183 - INFO - [1,   769] loss: 0.185
2022-08-15 22:38:36,238 - INFO - [1,   773] loss: 0.185
2022-08-15 22:38:36,292 - INFO - [1,   777] loss: 0.185
2022-08-15 22:38:36,347 - INFO - [1,   781] loss: 0.184
2022-08-15 22:38:36,402 - INFO - [1,   785] loss: 0.184
2022-08-15 22:38:36,455 - INFO - [1,   789] loss: 0.183
2022-08-15 22:38:36,510 - INFO - [1,   793] loss: 0.183
2022-08-15 22:38:36,564 - INFO - [1,   797] loss: 0.183
2022-08-15 22:38:36,618 - INFO - [1,   801] loss: 0.182
2022-08-15 22:38:36,672 - INFO - [1,   805] loss: 0.182
2022-08-15 22:38:36,726 - INFO - [1,   809] loss: 0.182
2022-08-15 22:38:36,780 - INFO - [1,   813] loss: 0.182
2022-08-15 22:38:36,835 - INFO - [1,   817] loss: 0.182
2022-08-15 22:38:36,889 - INFO - [1,   821] loss: 0.181
2022-08-15 22:38:36,943 - INFO - [1,   825] loss: 0.181
2022-08-15 22:38:36,997 - INFO - [1,   829] loss: 0.181
2022-08-15 22:38:37,054 - INFO - [1,   833] loss: 0.181
